iter	Passed	Remaining
409	4756	6844
410	4768	6833
411	4779	6821
412	4791	6810
413	4803	6799
414	4814	6787
415	4826	6775
416	4837	6763
417	4849	6752
418	4861	6740
419	4872	6728
420	4883	6716
421	4895	6705
422	4906	6693
423	4919	6682
424	4930	6670
425	4942	6659
426	4954	6648
427	4965	6636
428	4977	6624
429	4988	6612
430	4999	6600
431	5012	6590
432	5024	6579
433	5035	6567
434	5046	6555
435	5058	6543
436	5070	6532
437	5081	6520
438	5093	6508
439	5104	6497
440	5116	6485
441	5127	6473
442	5139	6461
443	5149	6448
444	5161	6436
445	5172	6424
446	5184	6413
447	5195	6401
448	5206	6389
449	5218	6378
450	5229	6365
451	5240	6353
452	5252	6342
453	5263	6330
454	5274	6318
455	5286	6306
456	5298	6295
457	5309	6283
458	5320	6271
459	5332	6259
460	5344	6248
461	5355	6236
462	5366	6224
463	5378	6212
464	5389	6200
465	5401	6189
466	5413	6178
467	5424	6166
468	5436	6155
469	5447	6143
470	5458	6130
471	5470	6119
472	5481	6107
473	5493	6095
474	5505	6084
475	5516	6073
476	5528	6061
477	5539	6049
478	5550	6037
479	5562	6025
480	5574	6014
481	5585	6002
482	5597	5991
483	5608	5979
484	5620	5967
485	5631	5956
486	5643	5944
487	5655	5933
488	5666	5921
489	5678	5910
490	5689	5898
491	5701	5887
492	5713	5875
493	5724	5863
494	5735	5851
495	5747	5840
496	5758	5828
497	5770	5816
498	5781	5804
499	5793	5793
500	5804	5781
501	5816	5769
502	5827	5757
503	5839	5746
504	5851	5735
505	5862	5723
506	5874	5712
507	5886	5701
508	5897	5688
509	5908	5677
510	5920	5665
511	5932	5654
512	5943	5642
513	5954	5630
514	5966	5618
515	5977	5606
516	5988	5594
517	6000	5583
518	6012	5572
519	6024	5561
520	6036	5549
521	6047	5537
522	6059	5526
523	6070	5514
524	6081	5502
525	6092	5490
526	6104	5478
527	6115	5467
528	6127	5455
529	6138	5443
530	6149	5431
531	6160	5419
532	6172	5407
533	6183	5396
534	6195	5384
535	6206	5372
536	6217	5360
537	6229	5349
538	6240	5337
539	6251	5325
540	6262	5313
541	6273	5301
542	6285	5289
543	6296	5278
544	6308	5266
545	6319	5254
546	6330	5242
547	6341	5230
548	6353	5219
549	6365	5207
550	6377	5196
551	6388	5184
552	6400	5173
553	6411	5161
554	6423	5150
555	6434	5138
556	6445	5126
557	6456	5114
558	6467	5102
559	6479	5091
560	6491	5079
561	6503	5068
562	6514	5056
563	6525	5044
564	6536	5032
565	6547	5020
566	6559	5009
567	6570	4997
568	6582	4985
569	6593	4973
570	6604	4961
571	6615	4950
572	6626	4938
573	6638	4926
574	6649	4914
575	6660	4902
576	6671	4891
577	6682	4879
578	6694	4867
579	6705	4855
580	6717	4844
581	6729	4833
582	6740	4821
583	6752	4809
584	6763	4798
585	6775	4786
586	6786	4774
587	6798	4763
588	6810	4752
589	6822	4740
590	6833	4729
591	6845	4717
592	6856	4705
593	6867	4694
594	6879	4682
595	6891	4671
596	6903	4660
597	6914	4648
598	6926	4637
599	6937	4625
600	6949	4613
601	6960	4601
602	6972	4590
603	6983	4578
604	6995	4567
605	7006	4555
606	7017	4543
607	7029	4532
608	7041	4520
609	7052	4509
610	7063	4497
611	7075	4485
612	7086	4474
613	7098	4462
614	7109	4450
615	7120	4438
616	7132	4427
617	7143	4415
618	7155	4404
619	7167	4393
620	7179	4381
621	7191	4370
622	7202	4358
623	7215	4347
624	7226	4335
625	7237	4324
626	7249	4312
627	7261	4301
628	7272	4289
629	7284	4278
630	7295	4266
631	7307	4255
632	7318	4243
633	7330	4231
634	7341	4220
635	7353	4208
636	7364	4196
637	7376	4185
638	7387	4173
639	7398	4161
640	7409	4149
641	7420	4137
642	7431	4126
643	7443	4114
644	7454	4103
645	7466	4091
646	7477	4079
647	7488	4067
648	7499	4056
649	7511	4044
650	7523	4033
651	7534	4021
652	7545	4009
653	7557	3998
654	7568	3986
655	7579	3974
656	7591	3963
657	7602	3951
658	7613	3939
659	7625	3928
660	7636	3916
661	7647	3904
662	7658	3892
663	7669	3881
664	7681	3869
665	7692	3857
666	7704	3846
667	7715	3834
668	7727	3823
669	7739	3811
670	7750	3800
671	7761	3788
672	7773	3776
673	7785	3765
674	7796	3754
675	7808	3742
676	7819	3730
677	7831	3719
678	7842	3707
679	7854	3696
680	7865	3684
681	7877	3672
682	7888	3661
683	7900	3649
684	7911	3638
685	7923	3626
686	7934	3614
687	7946	3603
688	7957	3591
689	7969	3580
690	7980	3568
691	7992	3557
692	8003	3545
693	8015	3534
694	8026	3522
695	8038	3510
696	8051	3499
697	8062	3488
698	8074	3476
699	8086	3465
700	8097	3453
701	8108	3442
702	8120	3430
703	8131	3418
704	8143	3407
705	8154	3395
706	8166	3384
707	8177	3372
708	8189	3361
709	8200	3349
710	8212	3337
711	8223	3326
712	8234	3314
713	8246	3303
714	8257	3291
715	8269	3280
716	8280	3268
717	8292	3256
718	8303	3245
719	8315	3233
720	8326	3222
721	8338	3210
722	8349	3198
723	8360	3187
724	8372	3175
725	8383	3164
726	8395	3152
727	8407	3141
728	8418	3129
729	8430	3118
730	8441	3106
731	8453	3095
732	8465	3083
733	8476	3071
734	8488	3060
735	8499	3048
736	8511	3037
737	8523	3025
738	8534	3014
739	8546	3002
740	8557	2991
741	8569	2979
742	8580	2967
743	8591	2956
744	8602	2944
745	8614	2933
746	8626	2921
747	8637	2910
748	8649	2898
749	8660	2886
750	8672	2875
751	8684	2863
752	8695	2852
753	8707	2840
754	8719	2829
755	8732	2818
756	8743	2806
757	8754	2795
758	8766	2783
759	8778	2772
760	8789	2760
761	8800	2748
762	8811	2736
763	8823	2725
764	8835	2714
765	8846	2702
766	8858	2690
767	8869	2679
768	8881	2667
769	8891	2656
770	8903	2644
771	8914	2632
772	8925	2621
773	8936	2609
774	8948	2597
775	8960	2586
776	8971	2574
