iter	MultiClass
0	2.284252563
1	2.266622247
2	2.250083159
3	2.234214171
4	2.218903279
5	2.204548257
6	2.190522078
7	2.177086606
8	2.163696123
9	2.151198186
10	2.139409616
11	2.12728285
12	2.115858609
13	2.104631103
14	2.093986203
15	2.083563863
16	2.073503043
17	2.063555489
18	2.053706321
19	2.044143953
20	2.035119739
21	2.026100189
22	2.017143705
23	2.008695289
24	2.000500619
25	1.992128974
26	1.984067451
27	1.976092615
28	1.968241076
29	1.96072712
30	1.953279978
31	1.946077509
32	1.938959712
33	1.931899738
34	1.924992307
35	1.918305952
36	1.91165045
37	1.905079958
38	1.898902454
39	1.892592891
40	1.886483043
41	1.880498532
42	1.874609565
43	1.868794044
44	1.863138171
45	1.857571803
46	1.851994461
47	1.846821644
48	1.841633528
49	1.836541726
50	1.831625734
51	1.82647621
52	1.821399114
53	1.816526188
54	1.811749134
55	1.806881051
56	1.802076679
57	1.797417204
58	1.792851009
59	1.788397816
60	1.783908856
61	1.779465927
62	1.775409494
63	1.771096379
64	1.766850206
65	1.762667551
66	1.758484571
67	1.754397718
68	1.750708127
69	1.746789978
70	1.743060662
71	1.739254093
72	1.735559142
73	1.731854958
74	1.728128537
75	1.7246405
76	1.721054544
77	1.717441554
78	1.71383797
79	1.710304407
80	1.706968198
81	1.70357275
82	1.700240638
83	1.697008842
84	1.693758508
85	1.690626187
86	1.687417758
87	1.684257988
88	1.681115533
89	1.678045579
90	1.675228367
91	1.672174129
92	1.669322311
93	1.666269321
94	1.663407496
95	1.660482083
96	1.657730456
97	1.65498901
98	1.652220218
99	1.649335661
100	1.64657707
101	1.643900725
102	1.641251395
103	1.638628826
104	1.635950532
105	1.633374044
106	1.630722771
107	1.628253535
108	1.625769035
109	1.6232221
110	1.620846754
111	1.618395756
112	1.615944361
113	1.613683796
114	1.611339203
115	1.608940016
116	1.606728952
117	1.604365666
118	1.602022704
119	1.599691979
120	1.5974244
121	1.595100436
122	1.592966447
123	1.590709121
124	1.588489501
125	1.586400944
126	1.584228939
127	1.582192374
128	1.580047198
129	1.577887122
130	1.575938319
131	1.573853774
132	1.5718032
133	1.56987252
134	1.567858034
135	1.565822038
136	1.563914667
137	1.562067099
138	1.560132449
139	1.55832656
140	1.556397656
141	1.55442887
142	1.552512522
143	1.550657818
144	1.548890294
145	1.54699597
146	1.545204046
147	1.543344374
148	1.541502026
149	1.539814669
150	1.538116338
151	1.536360767
152	1.534727397
153	1.533226128
154	1.531531391
155	1.529865414
156	1.528199266
157	1.526493546
158	1.525021736
159	1.5234112
160	1.52173867
161	1.520096244
162	1.518511976
163	1.516940176
164	1.515476103
165	1.513852295
166	1.512359192
167	1.510760935
168	1.509277613
169	1.50782346
170	1.506444701
171	1.505029801
172	1.503625872
173	1.5021125
174	1.500702215
175	1.499261567
176	1.497854467
177	1.496488685
178	1.495130535
179	1.493687808
180	1.492429383
181	1.491164421
182	1.489754871
183	1.488403817
184	1.48702236
185	1.485682903
186	1.484427608
187	1.483086205
188	1.481735932
189	1.480540412
190	1.479245934
191	1.477975407
192	1.476669789
193	1.475432327
194	1.474102989
195	1.472816703
196	1.471583459
197	1.47038993
198	1.469155008
199	1.467984784
200	1.466790419
201	1.465517351
202	1.46429092
203	1.463067175
204	1.461855859
205	1.460708516
206	1.459522725
207	1.458341575
208	1.457326621
209	1.456201546
210	1.455160946
211	1.454026545
212	1.452855848
213	1.451652995
214	1.450580189
215	1.449597306
216	1.448579581
217	1.447518413
218	1.446403909
219	1.445438383
220	1.444377978
221	1.443306706
222	1.442305888
223	1.441243936
224	1.440202645
225	1.43914055
226	1.438102267
227	1.437050536
228	1.436030279
229	1.435049024
230	1.434079469
231	1.433079597
232	1.432116451
233	1.431145695
234	1.430286592
235	1.429326908
236	1.428365497
237	1.427390733
238	1.426430671
239	1.42544636
240	1.424521421
241	1.423540939
242	1.422593201
243	1.421663311
244	1.420705585
245	1.419879373
246	1.419015061
247	1.418280349
248	1.417429136
249	1.41653784
250	1.415602322
251	1.414773287
252	1.413950875
253	1.413196769
254	1.412379886
